year,id1,name,ip,w,l,sv,k,era,fip,hr,pWar
2025,1,Sven Goose,7,1,0,0,2,2.00,6.91,2,0.3
2025,53,Joshua Baker,6,0,1,0,3,12.83,9.27,3,0.1
2025,28,P Brain,12.2,1,1,0,5,11.48,10.41,7,0.0
