year,id1,name,ip,w,l,sv,k,era,fip,hr,pWar
2021,28,P Brain,20.2,3,2,0,5,14.90,15.30,14,1.1
2021,32,Big Ted,23.1,3,3,0,15,18.18,16.74,20,0.9
2021,12,Pesky Zub,8,1,1,0,2,13.13,16.41,6,0.3
2021,20,BB Pfaff,1,0,1,0,0,84.00,32.78,2,-0.2
2021,34,Shawn Volesky,14.2,2,2,0,6,20.70,24.25,20,-0.9
